customer,day,daily_amount,nr_trans
customer10,2020-02-11 00:00:00+00:00,124.0,4
customer10,2020-02-12 00:00:00+00:00,205.0,8
customer10,2020-02-13 00:00:00+00:00,175.0,8
customer10,2020-02-14 00:00:00+00:00,359.0,13
customer10,2020-02-16 00:00:00+00:00,145.0,5
customer10,2020-02-17 00:00:00+00:00,140.0,5
customer10,2020-02-18 00:00:00+00:00,120.0,6
customer10,2020-02-19 00:00:00+00:00,50.0,4
customer10,2020-02-20 00:00:00+00:00,10.0,1
customer10,2020-02-21 00:00:00+00:00,265.0,13
customer10,2020-02-22 00:00:00+00:00,140.0,6
customer10,2020-02-23 00:00:00+00:00,80.0,4
customer10,2020-02-24 00:00:00+00:00,20.0,1
customer10,2020-02-25 00:00:00+00:00,180.0,9
customer10,2020-02-26 00:00:00+00:00,60.0,3
customer10,2020-02-27 00:00:00+00:00,90.0,5
customer10,2020-02-28 00:00:00+00:00,60.0,4
customer100,2019-06-08 00:00:00+00:00,220.0,7
customer100,2019-06-14 00:00:00+00:00,380.0,10
customer100,2019-07-03 00:00:00+00:00,50.0,1
customer100,2019-07-20 00:00:00+00:00,14.0,1
customer100,2019-09-03 00:00:00+00:00,80.0,2
customer100,2019-09-26 00:00:00+00:00,115.0,4
customer100,2019-12-02 00:00:00+00:00,200.0,6
customer100,2019-12-24 00:00:00+00:00,70.0,3
customer100,2020-01-05 00:00:00+00:00,100.0,5
customer100,2020-01-06 00:00:00+00:00,40.0,2
customer100,2020-01-09 00:00:00+00:00,10.0,1
customer100,2020-02-02 00:00:00+00:00,60.0,2
customer100,2020-02-03 00:00:00+00:00,90.0,4
customer100,2020-02-26 00:00:00+00:00,210.0,8
customer1000,2019-05-06 00:00:00+00:00,200.0,2
customer1001,2019-07-20 00:00:00+00:00,50.0,1
customer1001,2019-09-03 00:00:00+00:00,50.0,1
customer1001,2019-09-05 00:00:00+00:00,12.0,1
customer1001,2019-09-26 00:00:00+00:00,25.0,1
customer1001,2019-09-27 00:00:00+00:00,50.0,1
customer1001,2019-10-20 00:00:00+00:00,50.0,1
