AccountIdentifier,month_x,month_y
customer1480,2019-05,2019-06
customer1481,2020-01,2020-02
customer1482,2019-09,2019-09
customer1483,2019-11,2019-11
customer1484,2019-12,2020-01
customer1485,2019-07,2019-10
customer1486,2019-04,2019-06
customer1487,2019-11,2019-12
customer1488,2019-05,2019-11
customer1489,2019-12,2020-02
customer149,2019-05,2019-07
customer1490,2019-04,2019-07
customer1491,2019-08,2019-08
customer1492,2019-05,2019-06
customer1493,2019-08,2019-08
customer1494,2019-05,2019-05
customer1495,2019-05,2019-05
customer1496,2019-03,2019-03
customer1497,2019-12,2019-12
customer1498,2019-03,2019-03
customer1499,2019-05,2019-05
customer15,2019-05,2020-02
customer150,2019-05,2019-11
customer1500,2020-02,2020-02
customer1501,2019-07,2019-12
customer1502,2019-03,2019-03
customer1503,2019-03,2019-03
customer1504,2019-03,2019-03
customer1505,2019-07,2019-07
customer1506,2019-04,2019-06
customer1507,2019-11,2019-11
customer1508,2020-01,2020-02
customer1509,2019-04,2019-05
customer151,2019-08,2020-02
customer1510,2019-08,2019-08
customer1511,2019-03,2019-03
customer1512,2020-01,2020-01
customer1513,2019-11,2019-11
customer1514,2019-03,2019-05
customer1515,2019-03,2019-03
customer1516,2019-03,2019-03
customer1517,2019-12,2019-12
customer1518,2020-01,2020-02
customer1519,2019-03,2019-05
customer152,2019-12,2020-02
customer1520,2019-04,2019-04
customer1521,2019-11,2019-11
customer1522,2019-06,2019-07
customer1523,2020-02,2020-02
customer1524,2019-12,2019-12
customer1525,2019-03,2019-03
customer1526,2019-10,2019-10
customer1527,2019-06,2019-06
customer1528,2019-03,2019-08
customer1529,2019-07,2019-07
customer153,2019-04,2020-01
customer1530,2019-04,2019-04
customer1531,2019-12,2020-01
customer1532,2019-03,2019-03
customer1533,2019-03,2019-03
customer1534,2019-05,2019-05
customer1535,2019-03,2019-04
customer1536,2019-09,2019-09
customer1537,2019-05,2019-05
customer1538,2020-01,2020-01
customer1539,2019-08,2019-11
customer154,2019-10,2020-02
customer1540,2019-03,2019-03
customer1541,2019-05,2019-05
customer1542,2019-09,2019-09
customer1543,2019-03,2019-11
customer1544,2019-10,2020-01
customer1545,2019-11,2019-11
customer1546,2019-08,2019-08
customer1547,2019-03,2019-03
customer1548,2019-05,2019-05
customer1549,2019-08,2019-08
customer155,2019-03,2020-02
customer1550,2019-08,2019-08
customer1551,2019-09,2019-09
customer1552,2019-10,2019-10
customer1553,2020-02,2020-02
customer1554,2019-05,2019-05
customer1555,2019-11,2019-11
customer1556,2019-12,2019-12
